"","경산","경주","구미","금강","기흥","김천","낙동","논산","대전","덕평","동대구","마성","문막","부산","새말","서대구","서대전","서울","수원","안성","양산","양지","언양","여주","영동","영천","오산","옥천","왜관","용인","원주","유성","이천","전주","천안","청주","추풍령","통도사","판교","황간"
"경산",0,14144,1964,5,5,313,871,103,1208,0,57836,12,1,19155,3,13093,7,4848,492,179,338,2,3178,11,27,6423,329,220,3252,13,9,42,26,571,335,350,21,140,299,137
"경주",11098,0,7380,64,156,3299,2680,1169,19989,9,232102,183,6,358716,28,36686,112,114849,15943,2314,4328,42,15043,177,331,4089,5505,1799,4487,450,268,496,617,2769,4723,5037,116,8834,3194,898
"구미",1994,8272,0,61,25,39139,48,425,6983,1,10365,56,2,24575,28,281239,32,29740,4684,515,414,9,2356,51,315,1258,1642,1474,3523,111,94,249,153,2435,1264,2004,602,281,1131,1882
"금강",3,51,71,0,0,197,0,29,8478,0,10,1,0,53,4,175,15,562,67,17,1,0,23,0,554,3,13,18957,2,4,1,141,0,93,153,312,149,0,319,87
"기흥",2,180,53,1,0,61,0,21,553,194,24,378,52,593,145,498,5,89763,63218,1308,12,228,52,1830,2,9,5788,28,8,425,982,91,390,400,906,1001,3,4,10949,3
"김천",237,3005,33665,183,21,0,33,803,13676,3,1363,208,2,6809,126,20495,58,54032,5581,1136,70,14,541,133,1133,399,3277,3429,308,140,216,234,529,1864,4046,3523,2108,88,2188,2743
"낙동",934,3175,81,3,0,144,0,2,121,0,3192,0,0,13489,0,159660,1,594,123,15,408,0,762,14,3,370,32,5,2387,10,4,1,7,96,34,42,9,173,21,5
"논산",97,1369,452,19,23,956,1,0,696,4,504,101,5,3314,146,5402,195802,34365,3179,525,17,5,377,77,124,273,1661,2210,111,163,95,7493,71,44422,1594,2505,118,21,1574,67
"대전",972,16441,5593,9323,381,16156,37,1252,0,22,3721,529,22,42819,2537,77206,279,245371,31210,11845,1161,73,7930,489,5231,1331,26613,28676,727,636,1239,1481,2166,18159,112896,194997,2066,182,10030,3017
"덕평",1,8,1,0,255,2,0,8,44,0,1,185,36,23,78,14,0,10827,4036,93,0,1814,2,1136,2,1,286,2,2,7474,180,5,6771,33,151,35,1,1,1272,1
"동대구",61876,255764,10613,13,14,1695,3116,423,5628,0,0,43,0,217597,23,16861,23,21000,3062,581,4940,3,49110,23,167,38566,1361,586,31480,59,63,167,2002,1416,1175,1089,331,1963,1501,594
"마성",31,240,125,2,203,185,0,107,751,99,64,0,21,330,1080,670,10,86398,40504,562,6,332,39,1068,20,34,1066,93,12,2446,810,98,1276,1098,3357,795,15,6,4554,8
"문막",0,6,1,0,75,2,0,4,17,43,0,16,0,17,1369,12,2,4914,899,31,0,290,2,5118,0,0,78,4,1,632,37839,2,5752,27,49,10,0,0,175,0
"부산",16565,381927,25010,27,196,7373,9771,2271,41832,16,217856,325,19,0,93,42250,1327,262923,38865,4126,350768,26,219652,334,631,23230,13309,3676,9582,1405,1107,1167,4304,11088,14481,13570,365,106273,10588,2452
"새말",5,33,26,3,101,104,0,80,1855,83,29,1683,1053,149,0,407,33,132070,14216,774,1,177,12,3675,15,8,1457,73,5,2309,89616,92,36751,1609,2828,433,8,1,1265,15
"서대구",12079,49810,295695,122,200,24913,166747,4005,79870,13,14681,723,24,56549,227,0,298,251755,28962,3849,1531,90,6235,317,1582,11461,11082,5535,405576,736,1051,1331,3719,17394,12659,12745,1644,341,6570,6590
"서대전",12,98,56,33,10,103,0,196655,277,1,37,16,3,1263,46,250,0,6531,808,302,1,1,44,11,13,13,1194,179,8,29,32,13070,48,161502,3717,5130,12,0,282,5
"서울",2366,81887,28303,504,87830,46647,103,32994,245465,9630,11383,73036,4452,232651,127558,213233,5342,0,531039,212700,3009,56383,31612,45171,4177,3259,293659,14352,2561,173739,164002,20218,66637,400142,544230,214063,2445,371,191952,2633
"수원",497,14337,6658,56,75559,7814,12,3823,37700,3145,3966,40111,888,46574,15197,44351,758,493221,0,32387,1061,5508,4279,16476,638,725,26894,3538,409,3938,31122,1902,43221,48524,53357,35268,507,1329,106365,333
"안성",178,1650,595,16,742,1285,4,606,11798,98,465,693,32,3890,801,4507,205,211812,32201,0,71,183,324,799,118,168,23911,1195,451,1165,1883,624,1598,6906,18787,11866,60,33,15700,105
"양산",294,4844,814,0,4,52,685,17,1667,0,4877,10,0,348726,2,1503,0,4722,1098,26,0,0,22516,2,10,494,231,52,66,11,134,2,41,322,460,90,3,22255,182,31
"양지",1,38,14,0,168,11,1,4,87,2300,7,501,229,79,188,79,1,59660,6851,142,1,0,32,2880,4,0,432,11,2,25835,1009,14,3410,107,192,61,1,1,4229,1
"언양",3222,16648,3058,13,37,730,734,309,9882,2,50250,55,1,217343,9,6140,58,43576,5329,416,21589,15,0,37,93,2635,1288,450,737,86,65,90,91,2390,1338,1901,91,39030,997,229
"여주",3,139,53,0,1902,78,0,58,512,1505,29,1633,6516,723,2425,336,15,48470,18476,638,1,2945,28,0,8,10,2251,26,6,11885,31997,133,96264,593,1310,227,16,3,932,5
"영동",20,280,185,503,1,999,0,71,4985,0,102,3,1,389,11,1076,5,3740,315,96,23,0,61,7,0,43,289,10730,38,9,9,64,2,245,359,1316,380,2,103,2188
"영천",5244,5411,1245,2,1,372,242,218,1276,0,39884,27,0,26618,4,10510,6,4879,644,181,415,2,2128,4,43,0,248,140,1311,40,26,69,20,1069,679,427,32,361,431,254
"오산",400,7603,3092,17,5942,5810,5,2618,38501,341,2272,1174,75,26702,1799,25027,1534,313423,21954,30556,523,460,1705,2117,381,326,0,3744,267,1991,2624,2452,4786,48315,94393,33596,231,54,32895,396
"옥천",303,1893,1659,18278,9,4486,2,2175,26292,2,689,77,2,7724,101,6494,172,13726,3075,1240,61,7,368,25,11486,221,2503,0,199,53,59,1555,227,5294,2741,13256,1588,124,1260,1159
"왜관",3653,4563,3607,4,7,385,1912,96,834,2,32672,12,1,10360,13,420446,6,4165,450,446,105,2,685,5,57,1763,214,136,0,3,6,24,40,230,207,206,46,42,108,134
"용인",18,280,67,0,144,110,1,88,542,8795,37,2509,593,1590,2276,789,8,155081,3262,688,8,27747,69,13553,20,20,931,41,9,0,6599,50,32979,666,1291,464,2,4,12078,5
"원주",4,194,26,0,833,95,0,81,762,162,30,903,45397,618,100194,586,23,168737,28552,1725,81,931,23,32911,3,11,2257,47,4,5274,0,43,67801,1408,4485,123,4,2,14488,4
"유성",47,582,359,289,48,496,1,9379,1353,6,187,84,2,1599,71,1915,13250,30488,2743,895,14,13,115,93,108,95,1704,1683,31,90,81,0,56,14898,8545,7537,96,24,2356,49
"이천",39,1331,84,0,316,507,0,98,2770,5429,2859,1189,5180,6531,33108,4446,60,57584,43161,1571,127,2766,56,100425,15,33,4797,238,73,27735,72457,35,0,6926,3612,422,8,12,660,4
"전주",465,6210,2225,39,208,2664,7,44260,16648,12,1725,1387,16,15322,1951,23996,148224,453542,29721,6306,340,129,1868,669,359,639,21739,6030,297,664,1725,14206,4891,0,16281,24108,276,16,14148,203
"천안",464,3667,1698,108,891,5205,3,1996,113297,113,872,2513,54,22391,2891,15053,3469,577325,56413,18487,402,154,878,1069,439,680,69251,2883,208,1618,4863,5195,3064,17246,0,47689,803,54,29103,186
"청주",232,5023,1877,234,816,4062,14,2610,188615,35,1049,704,13,14093,338,14040,4891,221957,32678,11900,70,58,1150,213,1467,386,24522,12617,225,631,261,6396,413,25965,51097,0,377,23,12082,751
"추풍령",28,151,600,130,2,1419,2,131,2604,0,160,14,0,549,5,1772,11,3563,829,110,29,2,244,13,406,23,217,1175,41,11,5,117,15,478,681,425,0,8,197,629
"통도사",111,7576,256,0,0,108,75,17,192,0,1856,31,0,115941,3,263,2,765,1239,27,19042,0,37278,5,4,253,27,115,44,6,1,28,5,22,96,113,2,0,38,22
"판교",310,5675,1596,303,6201,3928,1,1886,13896,1253,2049,4614,137,19218,1990,13405,437,189454,101398,17697,287,4583,1228,1208,160,319,29724,1827,141,14312,13960,2470,1349,20183,33743,13695,132,14,0,130
"황간",168,884,1993,68,1,3123,3,76,3331,0,592,6,0,3322,12,6845,1,2980,388,97,25,0,258,6,2467,251,286,1087,168,9,3,34,4,245,224,835,865,19,140,0
